                Great Lakes Average Ice Concentration
------------------------------------------------------------------
                       Ice Concentration (%)
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------
2015 331    0.04    0.00    0.00    0.00    0.00    0.00    0.02
2015 332    0.02    0.00    0.00    0.00    0.00    0.00    0.01
2015 333    0.05    0.00    0.00    0.00    0.00    0.00    0.02
2015 334    0.36    0.00    0.00    0.00    0.00    0.00    0.13
2015 335    0.09    0.00    0.00    0.00    0.00    0.00    0.03
2015 336    0.07    0.00    0.00    0.00    0.00    0.00    0.03
2015 337    0.04    0.00    0.00    0.00    0.00    0.00    0.01
2015 338    0.03    0.00    0.00    0.00    0.00    0.00    0.01
2015 339    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 340    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 341    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 342    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 343    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 344    0.01    0.00    0.00    0.00    0.00    0.00    0.00
2015 345    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 346    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 347    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 348    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 349    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2015 350    0.01    0.00    0.00    0.00    0.00    0.00    0.01
2015 351    0.08    0.00    0.00    0.00    0.00    0.00    0.03
2015 352    0.10    0.00    0.00    0.00    0.00    0.00    0.04
2015 353    0.11    0.00    0.56    0.00    0.00    0.00    0.17
2015 354    0.46    0.00    0.00    0.00    0.00    0.00    0.17
2015 355    0.46    0.00    0.00    0.00    0.00    0.00    0.17
2015 356    0.49    0.00    0.01    0.00    0.00    0.00    0.18
2015 357    0.42    0.00    0.01    0.00    0.00    0.00    0.15
2015 358    0.69    0.00    0.01    0.00    0.00    0.00    0.26
2015 360    0.49    0.00    0.00    0.00    0.00    0.00    0.18
2015 361    0.71    0.00    0.00    0.00    0.00    0.00    0.26
2015 362    0.94    0.00    0.02    0.00    0.00    0.00    0.35
2015 363    0.95    0.01    0.31    0.00    0.00    0.00    0.43
2015 364    1.17    0.07    0.44    0.00    0.49    0.00    0.59
2015 365    1.36    0.16    0.66    0.00    0.13    0.00    0.70
2016 001    1.05    0.38    0.44    0.00    0.18    0.00    0.59
2016 002    1.13    0.36    0.70    0.00    0.16    0.00    0.67
2016 003    1.18    0.36    0.89    0.00    0.18    0.00    0.74
2016 004    1.22    1.16    1.66    0.00    0.16    0.00    1.12
2016 005    1.27    1.31    4.03    0.48    0.87   16.23    1.89
2016 006    1.37    1.84    5.14    0.55    1.04   17.57    2.34
2016 007    1.35    1.08    5.39    0.87    1.14   34.12    2.32
2016 008    1.00    0.67    3.99    0.23    0.93    9.69    1.60
2016 009    1.19    0.97    2.73    0.22    0.82    0.00    1.38
2016 010    1.41    1.48    3.26    0.09    0.75    0.00    1.69
2016 011    3.06    3.62    7.41    0.18    0.76    9.22    3.81
2016 012    2.85    4.14    7.30    5.28    0.93   42.79    4.45
2016 013    3.88    6.23   10.01    7.00    1.07   61.10    6.18
2016 014    5.01    5.91    9.46    8.34    1.11   75.62    6.58
2016 015    6.46    4.31    9.44    8.44    1.11   76.29    6.75
2016 016    5.84    5.05   10.06    7.01    1.00   66.91    6.66
